idx name E N U flagged
0 SB01-01 3.4843 19.1515 0.0872 False
1 SB01-02 4.7026 15.1617 0.0604 False
2 SB01-03 2.9191 15.349 0.0467 False
3 SB01-04 1.0084 12.5111 0.0474 False
4 SB01-05 2.8535 11.7902 0.0071 False
5 SB01-06 3.9295 13.4176 0.0498 False
6 SB01-07 6.1229 11.4721 0.0452 False
7 SB01-08 5.7998 13.7003 0.0576 False
8 SB01-09 7.7861 14.2746 0.0742 False
9 SB01-10 5.0336 16.8728 0.0783 False
10 SB02-01 -0.6345 18.651 0.0486 False
11 SB02-02 -3.0605 19.0688 0.0361 False
12 SB02-03 -1.1663 16.8775 0.041 False
13 SB02-04 -4.3249 16.9499 -0.0242 False
14 SB02-05 -5.0467 15.3428 -0.0304 False
15 SB02-06 -2.5286 15.2143 0.0221 False
16 SB02-07 -2.9804 13.2384 0.0518 False
17 SB02-08 -1.1886 13.1032 0.0366 False
18 SB02-09 0.2445 14.3052 0.0615 False
19 SB02-10 0.6628 16.5422 0.0462 False
20 SB02-11 2.9828 17.3105 0.0486 False
21 SB03-01 -6.6748 16.7096 -0.048 False
22 SB03-02 -6.9911 14.9386 -0.0267 False
23 SB03-03 -10.5355 15.7602 -0.0599 False
24 SB03-04 -8.2891 13.0856 -0.0677 False
25 SB03-05 -9.7923 14.093 -0.0325 False
26 SB03-06 -9.9909 10.1274 -0.0356 False
27 SB03-07 -7.4204 11.574 -0.0352 False
28 SB03-08 -9.9384 8.1708 -0.0272 False
29 SB03-09 -7.6954 9.4946 -0.038 False
30 SB03-10 -5.6075 11.0854 -0.0125 False
31 SB03-11 -4.9428 13.571 -0.028 False
32 SB04-01 -2.1447 10.424 -0.0113 False
33 SB04-02 -3.7129 11.2929 -0.0131 False
34 SB04-03 -5.8928 9.1275 -0.0195 False
35 SB04-04 -4.1804 8.3061 -0.0325 False
36 SB04-05 -3.9944 6.4753 -0.022 False
37 SB04-06 -3.068 4.8166 -0.0095 False
38 SB04-07 -2.1559 8.0287 -0.0345 False
39 SB04-08 -0.9361 5.3483 -0.0816 False
40 SB04-09 -0.5297 8.7863 0.0189 False
41 SB04-10 1.2678 9.3398 0.0457 False
42 SB04-11 -0.3488 11.0936 0.0335 False
