idx name E N U flagged
0 SB01-01 -18.7858 5.1693 -0.0378 False
1 SB01-02 -14.7044 6.0358 -0.0663 False
2 SB01-03 -15.0177 4.3037 -0.0777 False
3 SB01-04 -12.3696 2.1514 -0.0735 False
4 SB01-05 -11.4701 3.8467 -0.0604 False
5 SB01-06 -13.0022 5.065 -0.0652 False
6 SB01-07 -10.9073 7.0922 -0.0816 False
7 SB01-08 -13.1216 7.0162 -0.0542 False
8 SB01-09 -13.5037 8.975 -0.0627 False
9 SB01-10 -16.3486 6.5417 -0.0363 False
10 SB02-01 -18.6009 1.0562 -0.1049 False
11 SB02-02 -19.2277 -1.3121 -0.1351 False
12 SB02-03 -16.9555 0.3581 -0.1086 False
13 SB02-04 -17.2556 -2.7637 -0.1072 False
14 SB02-05 -15.7415 -3.6658 -0.099 False
15 SB02-06 -15.3537 -1.1983 -0.0885 False
16 SB02-07 -13.4451 -1.769 -0.0831 False
17 SB02-08 -13.1412 0.0153 -0.0782 False
18 SB02-09 -14.2299 1.5391 -0.0775 False
19 SB02-10 -16.3992 2.1549 -0.083 False
20 SB02-11 -16.9915 4.5029 -0.0618 False
21 SB03-01 -17.2622 -5.1837 -0.1024 False
22 SB03-02 -15.513 -5.6329 -0.0826 False
23 SB03-03 -16.6101 -9.0606 -0.078 False
24 SB03-04 -13.8297 -7.0843 -0.0743 False
25 SB03-05 -14.8886 -8.4679 -0.0836 False
26 SB03-06 -10.9588 -9.0131 -0.0652 False
27 SB03-07 -12.1872 -6.3539 -0.0645 False
28 SB03-08 -8.9924 -9.1332 -0.0468 False
29 SB03-09 -10.126 -6.8629 -0.0548 False
30 SB03-10 -11.5332 -4.5782 -0.0652 False
31 SB03-11 -13.9363 -3.735 -0.0771 False
32 SB04-01 -10.5263 -1.2056 -0.057 False
33 SB04-02 -11.5985 -2.7166 -0.0766 False
34 SB04-03 -9.643 -5.0 -0.0495 False
35 SB04-04 -8.6549 -3.4425 -0.0275 False
36 SB04-05 -6.7889 -3.369 -0.0163 False
37 SB04-06 -5.0985 -2.6469 0.0034 False
38 SB04-07 -8.1783 -1.3962 -0.0469 False
39 SB04-08 -5.4052 -0.4266 -0.0167 False
40 SB04-09 -8.7988 0.2857 -0.0236 False
41 SB04-10 -9.1798 2.0533 -0.0653 False
42 SB04-11 -11.0574 0.606 -0.0543 False
43 SB05-01 -9.8082 4.7775 -0.064 False
44 SB05-02 -7.6198 2.9288 -0.0218 False
45 SB05-03 -6.8389 1.143 -0.0103 False
