idx name E N U flagged
119 SB12-03 14.2026 1.1871 0.0477 False
120 SB12-04 14.0771 3.6182 0.0585 False
121 SB12-05 15.8953 0.6915 0.0435 False
122 SB12-06 17.1698 3.0293 0.0512 False
123 SB12-07 16.6933 4.7753 0.0556 False
124 SB12-08 19.0387 3.6003 0.0527 False
125 SB12-09 17.124 7.7656 0.0503 False
126 SB12-10 15.4954 6.3147 0.0704 False
127 SB12-11 10.134 4.8273 0.0768 False
128 SB13-01 8.0492 8.8397 0.0081 False
129 SB13-02 11.0232 8.2732 0.0615 False
130 SB13-03 12.9806 7.0529 0.0744 False
131 SB13-04 12.6494 8.7905 0.0656 False
132 SB13-05 14.8994 8.0656 0.0685 False
133 SB13-06 13.4422 10.8567 0.0521 False
134 SB13-07 11.687 11.3331 0.0496 False
135 SB13-08 13.3137 14.2457 0.0396 False
136 SB13-09 10.8593 13.3678 0.0374 False
137 SB13-10 9.8408 11.3603 0.0424 False
138 SB13-11 8.2136 10.5547 0.0268 False
139 SB14-01 4.018 12.9907 -0.0205 False
140 SB14-02 6.1155 15.0651 -0.0204 False
141 SB14-03 5.1874 11.681 0.0036 False
142 SB14-04 7.0905 12.0002 0.017 False
143 SB14-05 9.0504 13.0829 0.0128 False
144 SB14-06 7.5468 13.9651 -0.0064 False
145 SB14-07 10.0435 14.9568 0.0178 False
146 SB14-08 7.3848 17.6071 -0.03 False
147 SB14-09 5.7127 16.8762 -0.0341 False
148 SB14-10 4.1404 17.8346 -0.0444 False
149 SB14-11 3.7686 15.9153 -0.0355 False
150 SB15-01 5.3531 0.8434 0.0379 False
151 SB15-02 7.5564 2.9214 0.0496 False
152 SB15-03 6.8776 -0.1149 0.0471 False
153 SB15-04 8.2957 1.3253 0.053 False
154 SB15-05 11.0647 0.4464 0.0631 False
155 SB15-06 10.7325 2.5564 0.0582 False
156 SB15-07 10.8409 6.5131 0.0642 False
157 SB15-08 7.8864 6.9377 0.0434 False
158 SB15-09 8.401 5.2654 0.0727 False
159 SB15-10 5.2205 2.9768 0.0472 False
160 SB16-01 2.37 7.2068 0.0358 False
161 SB16-02 2.5481 4.777 0.0457 False
162 SB16-03 4.2736 5.1819 0.0481 False
163 SB16-04 4.0702 7.672 0.037 False
164 SB16-05 6.6352 4.8756 0.0642 False
165 SB16-06 6.0786 6.8592 0.0451 False
166 SB16-07 6.3934 10.3439 0.034 False
167 SB16-08 3.8369 9.4394 0.0361 False
168 SB16-09 2.6792 11.7956 -0.009 False
169 SB16-10 1.4448 9.4779 0.0202 False
170 SB16-11 0.9641 11.2207 0.0064 False
171 SB17-01 -2.7318 15.3098 -0.0574 False
172 SB17-02 -1.2473 12.7936 -0.0294 False
173 SB17-03 -1.0194 14.6279 -0.0407 False
174 SB17-04 0.9389 13.0504 -0.0264 False
175 SB17-05 2.8274 14.4918 -0.0422 False
176 SB17-06 0.9933 14.9228 -0.0368 False
177 SB17-07 1.8678 17.0707 -0.0405 False
178 SB17-08 0.3837 18.1506 -0.0563 False
179 SB17-09 -0.9061 16.8338 -0.0604 False
180 SB17-10 -3.3965 19.051 -0.0496 False
181 SB18-01 -1.2758 -0.0069 -0.0104 False
182 SB18-02 -0.8184 -3.2941 -0.0066 False
183 SB18-03 0.4197 -1.9223 -0.0205 False
184 SB18-04 1.6455 -0.546 0.0155 False
185 SB18-05 2.7971 1.3643 0.0296 False
186 SB18-06 0.8565 1.1902 0.0206 False
187 SB18-07 3.4659 3.293 0.0418 False
188 SB18-08 1.0557 3.7383 0.0437 False
189 SB18-09 -1.3014 1.7926 0.0108 False
190 SB18-10 -3.4567 1.1112 -0.0204 False
191 SB18-11 -2.9886 -1.8455 -0.0436 False
192 SB19-01 -2.5937 2.9836 0.0152 False
193 SB19-02 -3.4323 4.9765 -0.0005 False
194 SB19-03 -1.0337 5.8319 0.0472 False
195 SB19-04 0.8118 5.8858 0.0483 False
196 SB19-05 -2.6276 7.4807 0.0274 False
197 SB19-06 -1.1428 8.5518 0.0343 False
198 SB19-07 -1.8405 10.1569 0.0093 False
199 SB19-08 -3.8829 8.8493 0.0017 False
200 SB19-09 -3.8896 11.224 -0.0145 False
201 SB19-10 -5.6919 8.7245 -0.0199 False
202 SB19-11 -7.3972 9.2477 -0.0255 False
203 SB20-01 -7.9823 13.6677 -0.0509 False
204 SB20-02 -8.0057 11.8516 -0.0477 False
205 SB20-03 -5.6908 10.7773 -0.015 False
206 SB20-04 -5.604 12.8813 -0.0333 False
207 SB20-05 -3.3314 13.6257 -0.0368 False
208 SB20-06 -4.8656 15.7107 -0.0646 False
209 SB20-07 -3.3062 17.0798 -0.0619 False
210 SB20-08 -5.6626 17.8036 -0.0661 False
