idx name E N U flagged rotation
119 sb12-11 -8.496 -7.379 0.0 False 56.1
120 sb11-6 -16.909 -4.809 0.0 False 56.1
121 sb11-7 -17.566 -6.731 0.0 False 56.1
122 sb11-8 -14.571 -2.489 0.0 False 56.1
123 sb11-9 -12.595 -3.268 0.0 False 56.1
124 sb11-10 -11.759 -1.65 0.0 False 56.1
125 sb12-1 -10.235 -7.592 0.0 False 56.1
126 sb12-2 -11.684 -5.663 0.0 False 56.1
127 sb12-3 -13.385 -4.952 0.0 False 56.1
128 sb13-9 -6.962 -15.793 0.0 False 56.1
129 sb13-10 -6.464 -13.608 0.0 False 56.1
130 sb13-11 -5.12 -12.425 0.0 False 56.1
131 sb14-1 -0.446 -13.62 0.0 False 56.1
132 sb14-2 -1.914 -16.167 0.0 False 56.1
133 sb14-3 -1.924 -12.663 0.0 False 56.1
134 sb14-4 -3.667 -13.47 0.0 False 56.1
135 sb14-5 -5.263 -15.037 0.0 False 56.1
136 sb13-1 -5.439 -10.707 0.0 False 56.1
137 sb13-2 -8.426 -10.918 0.0 False 56.1
138 sb13-3 -10.616 -10.243 0.0 False 56.1
139 sb13-4 -9.874 -11.874 0.0 False 56.1
140 sb13-5 -12.217 -11.723 0.0 False 56.1
141 sb13-6 -10.104 -14.033 0.0 False 56.1
142 sb13-7 -8.298 -14.068 0.0 False 56.1
143 sb13-8 -9.038 -17.265 0.0 False 56.1
144 sb15-3 -6.653 -1.737 0.0 False 56.1
145 sb15-4 -7.657 -3.477 0.0 False 56.1
146 sb15-5 -10.54 -3.401 0.0 False 56.1
147 sb15-6 -9.684 -5.364 0.0 False 56.1
148 sb15-7 -8.702 -9.159 0.0 False 56.1
149 sb15-8 -5.771 -8.85 0.0 False 56.1
150 sb15-9 -6.694 -7.354 0.0 False 56.1
151 sb15-10 -4.255 -4.295 0.0 False 56.1
152 sb14-6 -3.601 -15.506 0.0 False 56.1
153 sb14-7 -5.725 -17.112 0.0 False 56.1
154 sb14-8 -2.445 -18.921 0.0 False 56.1
155 sb14-9 -1.032 -17.814 0.0 False 56.1
156 sb14-10 0.703 -18.346 0.0 False 56.1
157 sb14-11 0.571 -16.402 0.0 False 56.1
158 sb15-1 -4.936 -2.29 0.0 False 56.1
159 sb15-2 -6.533 -4.833 0.0 False 56.1
160 sb16-9 0.512 -12.123 0.0 False 56.1
161 sb16-10 1.101 -9.54 0.0 False 56.1
162 sb16-11 2.004 -11.141 0.0 False 56.1
163 sb17-1 6.673 -14.09 0.0 False 56.1
164 sb17-2 4.584 -12.071 0.0 False 56.1
165 sb17-3 4.834 -13.862 0.0 False 56.1
166 sb17-4 2.561 -12.885 0.0 False 56.1
