idx name E N U flagged
0 sb01-9 -15.36 -5.266 0.025 False
1 sb01-10 -15.137 -9.047 -0.013 False
2 sb02-1 -12.157 -14.172 -0.058 False
3 sb02-2 -10.648 -16.102 -0.026 False
4 sb02-3 -10.56 -13.212 -0.054 False
5 sb02-4 -8.248 -15.407 -0.042 False
6 sb02-5 -6.629 -14.702 -0.029 False
7 sb02-6 -8.399 -12.913 -0.045 False
8 sb01-1 -15.501 -11.765 -0.031 False
9 sb01-2 -13.704 -7.985 -0.029 False
10 sb01-3 -12.514 -9.296 -0.017 False
11 sb01-4 -9.239 -8.54 -0.033 False
12 sb01-5 -10.072 -6.707 -0.027 False
13 sb01-6 -11.934 -7.282 -0.008 False
14 sb01-7 -12.239 -4.324 0.012 False
15 sb01-8 -13.565 -6.196 -0.003 False
16 sb03-4 -2.76 -15.245 -0.036 False
17 sb03-5 -2.279 -16.986 -0.02 False
18 sb03-6 0.54 -14.194 -0.037 False
19 sb03-7 -2.317 -13.558 -0.046 False
20 sb03-8 1.782 -12.72 -0.061 False
21 sb03-9 -0.713 -12.225 -0.041 False
22 sb03-10 -3.388 -11.963 -0.047 False
23 sb03-11 -5.505 -13.32 -0.031 False
24 sb02-7 -6.744 -11.712 -0.039 False
25 sb02-8 -8.008 -10.463 -0.027 False
26 sb02-9 -9.83 -10.377 -0.025 False
27 sb02-10 -11.688 -11.752 -0.019 False
28 sb02-11 -13.927 -10.758 -0.02 False
29 sb03-1 -6.444 -16.867 -0.031 False
30 sb03-2 -4.93 -15.7 -0.023 False
31 sb03-3 -2.9 -18.73 -0.003 False
32 sb04-9 -5.551 -6.829 -0.046 False
33 sb04-10 -7.284 -6.028 -0.027 False
34 sb04-11 -7.213 -8.436 -0.02 False
35 sb05-1 -9.782 -4.872 -0.013 False
36 sb05-2 -6.977 -4.293 -0.034 False
37 sb05-3 -5.014 -4.743 -0.029 False
38 sb05-4 -5.506 -2.949 -0.052 False
39 sb05-5 -4.16 -0.553 -0.041 False
40 sb04-1 -5.456 -9.115 -0.043 False
41 sb04-2 -4.901 -10.805 -0.046 False
42 sb04-3 -1.865 -10.661 -0.049 False
43 sb04-4 -2.503 -8.925 -0.041 False
