idx name E N U flagged
0 SB01-01 17.2942 8.8697 0.0628 False
1 SB01-02 14.9231 5.4781 0.0086 False
2 SB01-03 13.9378 6.9615 0.0302 False
3 SB01-04 10.5854 6.7686 0.0345 False
4 SB01-05 11.0588 4.9027 0.0383 False
5 SB01-06 13.0126 5.0484 0.0358 False
6 SB01-07 12.7964 2.1251 0.026 False
7 SB01-08 14.4223 3.6878 0.0273 False
8 SB01-09 16.0413 2.4673 0.0111 False
9 SB01-10 16.4778 6.2156 0.0004 False
10 SB02-01 14.425 11.8318 0.0597 False
11 SB02-02 13.2799 13.9908 0.0167 False
12 SB02-03 12.7491 11.1842 0.0623 False
13 SB02-04 10.8417 13.744 -0.0225 False
14 SB02-05 9.0798 13.3295 -0.005 False
15 SB02-06 10.5237 11.2102 0.0341 False
16 SB02-07 8.7214 10.3771 0.0581 False
17 SB02-08 9.6919 8.9138 0.0267 False
18 SB02-09 11.5314 8.471 0.0259 False
19 SB02-10 13.5531 9.5355 0.0578 False
20 SB02-11 15.6174 8.1666 0.0399 False
21 SB03-01 9.2715 15.487 -0.0135 False
22 SB03-02 7.6271 14.6364 0.0191 False
23 SB03-03 6.1618 17.9547 0.0132 False
24 SB03-04 5.4113 14.5621 0.0174 False
25 SB03-05 5.2555 16.3017 0.0192 False
26 SB03-06 1.9815 14.0889 0.0087 False
27 SB03-07 4.6806 12.9137 0.0324 False
28 SB03-08 0.4588 12.7976 0.0081 False
29 SB03-09 2.8691 11.8808 0.0311 False
30 SB03-10 5.4091 11.1622 0.0429 False
31 SB03-11 7.7378 12.171 0.0256 False
32 SB04-01 6.9477 7.9901 0.0293 False
33 SB04-02 6.6826 9.8223 0.0366 False
34 SB04-03 3.69 10.1812 0.0352 False
35 SB04-04 4.0181 8.3665 0.0312 False
36 SB04-05 2.7333 7.1096 0.0327 False
37 SB04-06 1.9816 5.3756 0.0298 False
38 SB04-07 5.0784 6.5836 0.0627 False
39 SB04-08 3.6489 3.998 0.0356 False
40 SB04-09 6.6837 5.7215 0.0346 False
41 SB04-10 8.1566 4.6721 0.0035 False
42 SB04-11 8.5835 7.0117 0.0707 False
43 SB05-01 10.5194 3.1047 0.0077 False
44 SB05-02 7.548 3.0204 0.0128 False
45 SB05-03 5.805 3.8206 0.0453 False
46 SB05-04 5.9431 1.9571 0.0464 False
47 SB05-05 4.1816 -0.1768 0.0151 False
48 SB05-06 5.5357 -1.4605 0.0169 False
49 SB05-07 7.4655 0.5192 0.0314 False
50 SB05-08 8.9484 1.5001 0.0472 False
51 SB05-09 10.4139 -1.2308 0.0163 False
52 SB05-10 10.5057 0.5745 0.036 False
53 SB06-01 2.0267 17.4881 0.0097 False
54 SB06-02 4.0906 18.6086 0.0199 False
55 SB06-03 -0.2204 18.061 -0.0186 False
56 SB06-04 -3.0261 18.8188 0.0052 False
57 SB06-05 -3.8214 17.3158 0.0202 False
58 SB06-06 -0.5892 16.3457 -0.0003 False
59 SB06-07 -2.4077 15.7123 0.0092 False
60 SB06-08 -2.9035 12.8984 0.0189 False
61 SB06-09 -1.4034 12.0609 -0.0123 False
62 SB06-10 -0.9671 14.5604 -0.0088 False
63 SB06-11 1.4254 15.772 -0.0231 False
64 SB07-01 1.1107 9.5023 -0.0039 False
65 SB07-02 0.1033 11.0202 0.0014 False
66 SB07-03 -0.6699 8.2145 0.0331 False
67 SB07-04 -2.598 10.2085 -0.0032 False
68 SB07-05 -4.6728 8.5806 0.0338 False
69 SB07-06 -2.64 7.1623 0.0329 False
70 SB07-07 -3.5701 5.6021 0.0012 False
71 SB07-08 -1.4804 3.0801 0.0485 False
72 SB07-09 -0.9695 6.0915 0.0068 False
73 SB07-10 0.4192 4.6392 0.032 False
74 SB07-11 1.0119 7.4946 0.03 False
75 SB08-01 -5.0448 13.4849 0.0462 False
76 SB08-02 -4.8796 15.6443 0.0569 False
77 SB08-03 -6.4125 16.4709 0.031 False
78 SB08-04 -7.9504 15.5843 0.047 False
79 SB08-05 -9.8729 15.5886 0.0289 False
80 SB08-06 -7.7279 13.0824 0.0122 False
81 SB08-07 -7.514 11.2908 0.023 False
82 SB08-08 -6.0081 9.9433 0.015 False
83 SB08-09 -5.6653 11.7631 0.0366 False
84 SB08-10 -4.3223 10.5559 0.0281 False
85 SB09-01 -5.5246 5.0989 0.0229 False
86 SB09-02 -4.9104 6.8157 0.008 False
87 SB09-03 -6.3893 7.8611 -0.0312 False
88 SB09-04 -8.8055 7.8502 -0.019 False
89 SB09-05 -7.4044 4.5147 -0.0011 False
90 SB09-06 -9.741 4.6111 0.0215 False
91 SB09-07 -9.624 2.7488 -0.0085 False
92 SB09-08 -7.8067 2.7672 0.0128 False
93 SB09-09 -5.5028 3.2735 0.0326 False
