idx name E N U flagged
137 SB14-9 13.904 -10.964 0.046 False
138 SB14-2 11.54 -10.126 0.035 False
139 SB14-11 13.568 -9.015 0.049 False
140 SB14-5 9.431 -12.846 0.017 False
141 SB14-1 11.002 -8.135 0.03 False
142 SB14-6 11.695 -12.1 0.032 False
143 SB14-4 9.434 -10.799 0.022 False
144 SB12-10 1.057 -16.121 -0.003 False
145 SB12-6 -2.533 -16.524 -0.063 False
146 SB12-7 -0.292 -17.578 -0.06 False
147 SB9-2 -7.547 -3.912 -0.044 False
148 SB9-6 -6.041 -8.725 -0.019 False
149 SB9-7 -3.682 -9.003 -0.041 False
150 SB9-9 -3.632 -4.683 0.009 False
151 SB9-8 -4.024 -6.978 -0.036 False
152 SB15-8 3.344 -10.259 -0.015 False
153 SB15-3 -2.071 -6.475 -0.043 False
154 SB15-6 -0.379 -10.28 -0.037 False
155 SB15-4 -1.484 -8.564 -0.044 False
156 SB14-3 9.002 -8.737 0.016 False
157 SB14-10 15.945 -9.43 0.064 False
158 SB14-7 11.529 -14.081 0.025 False
159 SB14-8 13.896 -12.982 0.042 False
160 SB9-4 -8.379 -7.843 -0.045 False
161 SB9-11 -4.134 -2.575 -0.039 False
162 SB9-10 -1.777 -3.699 -0.044 False
163 SB9-1 -5.639 -4.709 -0.041 False
164 SB9-3 -7.937 -5.83 -0.049 False
165 SB9-5 -6.179 -6.729 -0.044 False
166 SB13-10 7.173 -13.142 -0.005 False
167 SB13-9 9.087 -14.81 0.008 False
168 SB16-6 5.024 -8.547 -0.005 False
169 SB16-8 8.098 -6.643 0.025 False
170 SB15-5 -2.783 -10.784 -0.086 False
171 SB15-10 1.621 -6.056 -0.022 False
172 SB15-7 2.948 -12.507 -0.006 False
173 SB15-2 0.326 -7.589 -0.035 False
174 SB15-9 1.669 -9.19 -0.04 False
175 SB15-1 -0.49 -5.26 -0.02 False
176 SB13-1 5.232 -10.914 -0.001 False
177 SB13-2 5.005 -13.009 -0.014 False
178 SB13-11 7.287 -11.09 0.017 False
179 SB13-7 6.672 -15.091 -0.01 False
180 SB13-6 5.876 -16.912 -0.016 False
181 SB13-3 2.157 -14.448 -0.03 False
182 SB13-4 4.365 -14.969 -0.032 False
183 SB13-8 8.433 -16.704 -0.003 False
184 SB16-11 10.388 -3.645 0.038 False
185 SB16-3 4.088 -5.801 0.0 False
186 SB16-7 6.991 -8.885 0.022 False
