idx name E N U flagged
0 SB01-01 -19.1843 -3.3291 -0.1289 False
1 SB01-02 -15.8651 -0.7971 -0.0722 False
2 SB01-03 -15.4119 -2.5222 -0.0657 False
3 SB01-04 -12.0994 -3.3472 -0.0275 False
4 SB01-05 -12.045 -1.384 -0.0312 False
5 SB01-06 -13.9614 -0.983 -0.0684 False
6 SB01-07 -12.8879 1.7403 -0.0813 False
7 SB01-08 -14.8667 0.7326 -0.071 False
8 SB01-09 -16.0796 2.3835 -0.0917 False
9 SB01-10 -17.5799 -1.0883 -0.1102 False
10 SB02-01 -17.2683 -7.0164 -0.1032 False
11 SB02-02 -16.8257 -9.4125 -0.1003 False
12 SB02-03 -15.494 -6.9363 -0.0737 False
13 SB02-04 -14.4161 -9.886 -0.0842 False
14 SB02-05 -12.6177 -10.0551 -0.0807 False
15 SB02-06 -13.367 -7.6279 -0.0364 False
16 SB02-07 -11.394 -7.3503 -0.0383 False
17 SB02-08 -11.9335 -5.6496 -0.0256 False
18 SB02-09 -13.5157 -4.696 -0.0428 False
19 SB02-10 -15.7584 -5.0669 -0.059 False
20 SB02-11 -17.3383 -3.1994 -0.0934 False
21 SB03-01 -13.3871 -12.0433 -0.0718 False
22 SB03-02 -11.6128 -11.6928 -0.0512 False
23 SB03-03 -11.1529 -15.2981 -0.0033 False
24 SB03-04 -9.4767 -12.3237 -0.027 False
25 SB03-05 -9.8275 -14.0252 -0.009 False
26 SB03-06 -6.0607 -12.8518 0.0104 False
27 SB03-07 -8.3065 -10.9756 -0.0075 False
28 SB03-08 -4.2248 -12.1071 -0.0019 False
29 SB03-09 -6.264 -10.4808 -0.0071 False
30 SB03-10 -8.4718 -9.0709 -0.0248 False
31 SB03-11 -11.0348 -9.3477 -0.0377 False
32 SB04-01 -9.0023 -5.5899 -0.0184 False
33 SB04-02 -9.3195 -7.4081 0.0124 False
34 SB04-03 -6.5758 -8.6549 -0.0023 False
35 SB04-04 -6.347 -6.8262 -0.0031 False
