idx name E N U flagged
0 SB01-01 10.3199 -16.4786 -0.002 False
1 SB01-02 6.7208 -14.3667 -0.0004 False
2 SB01-03 8.1758 -13.2907 -0.0046 False
3 SB01-04 7.6819 -9.9527 -0.0037 False
4 SB01-05 5.8296 -10.6056 -0.0 False
5 SB01-06 6.1896 -12.5304 -0.0066 False
6 SB01-07 3.2654 -12.6043 -0.0301 False
7 SB01-08 4.9424 -14.0065 0.0008 False
8 SB01-09 3.8662 -15.7595 -0.021 False
9 SB01-10 7.5923 -15.8432 0.0043 False
10 SB02-01 13.0661 -13.3465 -0.0078 False
11 SB02-02 15.0765 -12.0336 -0.0015 False
12 SB02-03 12.2664 -11.6873 -0.008 False
13 SB02-04 14.6442 -9.6223 -0.0232 False
14 SB02-05 14.0888 -7.9004 -0.0246 False
15 SB02-06 12.1071 -9.5137 -0.0207 False
16 SB02-07 11.1219 -7.7436 -0.0017 False
17 SB02-08 9.6997 -8.8956 0.0116 False
18 SB02-09 9.462 -10.7661 -0.0169 False
19 SB02-10 10.6461 -12.6357 -0.0277 False
20 SB02-11 9.4594 -14.8285 0.0057 False
21 SB03-01 16.1919 -7.8679 -0.0039 False
22 SB03-02 15.2056 -6.3066 -0.0082 False
23 SB03-03 18.4277 -4.5482 0.0372 False
24 SB03-04 14.9785 -4.0871 -0.0354 False
25 SB03-05 16.7123 -3.8312 0.0163 False
26 SB03-06 14.1774 -0.7306 0.0273 False
27 SB03-07 13.2993 -3.5175 0.0133 False
28 SB03-08 12.8091 0.6352 0.025 False
29 SB03-09 12.106 -1.801 0.0207 False
30 SB03-10 11.6096 -4.4313 0.0101 False
31 SB03-11 12.769 -6.6741 -0.0189 False
32 SB04-01 8.5934 -6.2454 0.0122 False
33 SB04-02 10.357 -5.8146 0.0076 False
34 SB04-03 10.4932 -2.7948 0.0023 False
35 SB04-04 8.7117 -3.2751 -0.0072 False
36 SB04-05 7.2851 -2.0709 -0.0023 False
37 SB04-06 5.4957 -1.4787 -0.0004 False
38 SB04-07 6.9972 -4.5115 -0.0093 False
39 SB04-08 4.2823 -3.3024 0.0022 False
40 SB04-09 6.2926 -6.1217 0.0056 False
41 SB04-10 5.412 -7.7752 -0.0101 False
42 SB04-11 7.7695 -7.9287 0.0107 False
43 SB05-01 3.9748 -10.1715 -0.0333 False
44 SB05-02 3.6485 -7.2736 -0.0097 False
45 SB05-03 4.2773 -5.4347 0.0153 False
46 SB05-04 2.4498 -5.7455 0.013 False
47 SB05-05 0.1728 -4.1809 0.0035 False
48 SB05-06 -0.9817 -5.6007 -0.0083 False
49 SB05-07 1.1516 -7.3964 -0.0011 False
50 SB05-08 2.2538 -8.7795 -0.0145 False
51 SB05-09 -0.3222 -10.4942 -0.0167 False
52 SB05-10 1.458 -10.4203 -0.0182 False
53 SB06-01 17.6082 -0.4787 0.007 False
54 SB06-02 18.8895 -2.4361 0.0149 False
55 SB06-03 17.977 1.818 0.0157 False
56 SB06-04 18.4666 4.6124 0.0118 False
57 SB06-05 16.9009 5.3205 0.0111 False
58 SB06-06 16.2516 2.0246 0.0507 False
59 SB06-07 15.4842 3.7371 0.0393 False
60 SB06-08 12.6383 3.9865 0.0249 False
61 SB06-09 11.8731 2.423 0.0149 False
62 SB06-10 14.4441 2.2178 0.0399 False
63 SB06-11 15.8519 -0.0174 -0.0048 False
64 SB07-01 9.5929 -0.2877 -0.0061 False
65 SB07-02 10.9824 0.8173 0.0067 False
66 SB07-03 8.1539 1.3746 -0.023 False
67 SB07-04 9.927 3.4447 0.0131 False
68 SB07-05 8.181 5.3914 -0.0238 False
69 SB07-06 6.9348 3.2875 -0.0075 False
70 SB07-07 5.2449 4.074 -0.0233 False
71 SB07-08 2.9722 1.7319 -0.0283 False
72 SB07-09 5.9808 1.4134 0.0063 False
73 SB07-10 4.6428 -0.0296 0.006 False
74 SB07-11 7.5543 -0.3688 0.0007 False
75 SB08-01 12.9918 6.1769 0.021 False
76 SB08-02 15.1346 6.2296 0.0276 False
77 SB08-03 15.8247 7.8392 0.0308 False
78 SB08-04 14.786 9.2416 0.0238 False
79 SB08-05 14.6728 11.1641 0.0119 False
80 SB08-06 12.3644 8.8133 0.0042 False
81 SB08-07 10.5915 8.4452 0.0026 False
82 SB08-08 9.3803 6.8693 -0.0105 False
83 SB08-09 11.2122 6.6858 0.0302 False
84 SB08-10 10.1344 5.1926 -0.008 False
85 SB09-01 4.5386 5.9666 -0.0325 False
86 SB09-02 6.3638 5.4727 -0.0241 False
87 SB09-03 7.2766 7.0338 -0.0304 False
88 SB09-04 7.0722 9.4044 -0.0555 False
89 SB09-05 3.8686 7.7007 -0.0371 False
90 SB09-06 3.6995 10.1433 -0.0332 False
91 SB09-07 1.9192 9.8192 -0.0613 False
92 SB09-08 2.0838 8.0506 -0.0372 False
93 SB09-09 2.7738 5.7932 -0.0353 False
94 SB09-10 1.2467 3.4709 0.0154 False
95 SB09-11 3.4192 3.5211 -0.0075 False
96 SB10-01 10.5875 10.1831 -0.0079 False
97 SB10-02 12.4831 10.6402 -0.0035 False
98 SB10-03 13.9646 13.5149 -0.0054 False
99 SB10-04 11.362 12.7932 -0.0212 False
100 SB10-05 10.1806 16.2065 -0.0251 False
101 SB10-06 9.6102 12.3213 -0.0631 False
102 SB10-07 8.6712 14.7691 -0.0334 False
103 SB10-08 7.8152 12.5076 -0.046 False
104 SB10-09 5.1485 11.2062 -0.033 False
105 SB10-10 8.6533 10.296 -0.0343 False
106 SB10-11 8.6126 8.5398 -0.0217 False
107 SB11-01 4.2335 13.5154 -0.0048 False
108 SB11-02 6.0231 13.9369 -0.0408 False
109 SB11-03 4.0712 15.8906 -0.0481 False
110 SB11-04 5.8531 17.6562 -0.0472 False
111 SB11-05 4.1091 18.1026 -0.0283 False
112 SB11-06 1.4189 17.5206 -0.0253 False
113 SB11-07 -0.125 18.7949 -0.0162 False
114 SB11-08 2.8022 14.5042 -0.0227 False
115 SB11-09 1.3855 12.9298 -0.0476 False
116 SB11-10 2.5879 11.5728 -0.0257 False
117 SB12-01 -3.4909 12.2229 0.0156 False
118 SB12-02 -1.186 12.9267 -0.0302 False
119 SB12-03 0.0735 14.3016 -0.0303 False
120 SB12-04 -2.4077 14.3406 0.0017 False
121 SB12-05 0.7243 15.9096 -0.0256 False
122 SB12-06 -1.4915 17.3758 -0.0094 False
123 SB12-07 -3.319 17.0449 -0.0296 False
124 SB12-08 -1.8964 19.2856 -0.0328 False
125 SB12-09 -6.1963 17.6981 0.0218 False
126 SB12-10 -4.9656 15.9871 -0.0253 False
127 SB12-11 -3.8948 10.4922 0.0164 False
128 SB13-01 -8.132 8.7998 0.0283 False
129 SB13-02 -7.2908 11.712 0.0444 False
130 SB13-03 -5.8588 13.5103 0.0194 False
131 SB13-04 -7.6353 13.3844 0.0302 False
132 SB13-05 -6.7075 15.5178 -0.0083 False
133 SB13-06 -9.6231 14.3566 0.031 False
