idx name E N U flagged
0 SB01-01 8.4491 17.5218 0.0093 False
1 SB01-02 8.5785 13.4098 0.0025 False
2 SB01-03 6.9046 13.988 0.0055 False
3 SB01-04 4.3574 11.7947 0.0188 False
4 SB01-05 5.9252 10.6025 0.0159 False
5 SB01-06 7.3177 11.9091 0.0108 False
6 SB01-07 8.9452 9.4808 0.0079 False
7 SB01-08 9.2385 11.6519 -0.0197 False
8 SB01-09 11.2905 11.6801 0.005 False
9 SB01-10 9.3668 14.938 0.0166 False
10 SB02-01 4.3196 18.14 -0.0156 False
11 SB02-02 2.1326 19.1519 0.0111 False
12 SB02-03 3.3688 16.6029 0.015 False
13 SB02-04 0.3285 17.4875 0.0035 False
14 SB02-05 -0.8286 16.0865 0.0041 False
15 SB02-06 1.5928 15.3385 -0.0221 False
16 SB02-07 0.6597 13.5229 0.0 False
17 SB02-08 2.3547 12.973 0.0313 False
18 SB02-09 4.0439 13.7035 0.0177 False
19 SB02-10 5.0775 15.7845 -0.0275 False
20 SB02-11 7.4793 15.9468 -0.0124 False
21 SB03-01 -1.9782 17.9244 0.0229 False
22 SB03-02 -2.7737 16.2457 0.0075 False
23 SB03-03 -5.9479 18.0202 -0.0137 False
24 SB03-04 -4.4888 14.8501 -0.0237 False
25 SB03-05 -5.7013 16.1747 0.0043 False
26 SB03-06 -6.9491 12.4173 -0.0469 False
27 SB03-07 -4.0866 13.1188 0.0044 False
28 SB03-08 -7.3839 10.4673 0.0116 False
29 SB03-09 -4.9146 11.2039 -0.0112 False
30 SB03-10 -2.4301 12.1478 0.0004 False
31 SB03-11 -1.1624 14.3936 0.0026 False
32 SB04-01 0.7319 10.5781 0.0042 False
33 SB04-02 -0.593 11.8764 0.0198 False
34 SB04-03 -3.2058 10.3615 0.0053 False
35 SB04-04 -1.85 9.1134 0.0083 False
36 SB04-05 -2.1329 7.295 0.0121 False
37 SB04-06 -1.6689 5.4978 -0.0177 False
38 SB04-07 0.0891 8.279 0.0046 False
39 SB04-08 0.5329 5.3695 -0.0043 False
40 SB04-09 1.8797 8.6067 0.0159 False
41 SB04-10 3.6465 8.6292 0.0239 False
42 SB04-11 2.5996 10.7802 0.0187 False
