idx name E N U flagged
0 SB01-01 11.8636 15.431 0.0498 False
1 SB01-02 11.123 11.3287 0.0453 False
2 SB01-03 9.6481 12.2592 0.0493 False
3 SB01-04 6.6563 10.6267 0.0335 False
4 SB01-05 7.9551 9.1479 0.0371 False
5 SB01-06 9.624 10.1431 0.0592 False
6 SB01-07 10.6981 7.364 0.0393 False
7 SB01-08 11.4346 9.4809 0.0607 False
8 SB01-09 13.4566 9.085 0.0579 False
9 SB01-10 12.2213 12.6576 0.0346 False
10 SB02-01 7.9639 16.8563 0.0301 False
11 SB02-02 6.0508 18.3481 0.011 False
12 SB02-03 6.7253 15.5491 0.0302 False
13 SB02-04 3.9241 17.0402 0.0271 False
14 SB02-05 2.5021 15.9158 0.0365 False
15 SB02-06 4.6873 14.6646 0.0579 False
16 SB02-07 3.433 13.1024 0.0359 False
17 SB02-08 5.0012 12.1797 0.0402 False
18 SB02-09 6.7621 12.6148 0.0505 False
19 SB02-10 8.1638 14.3894 0.0498 False
20 SB02-11 10.6151 14.0505 0.0522 False
21 SB03-01 1.7642 17.945 0.0594 False
22 SB03-02 0.6614 16.4376 0.0588 False
23 SB03-03 -2.1027 18.8638 0.0709 False
24 SB03-04 -1.3398 15.4668 0.0331 False
25 SB03-05 -2.1858 17.0057 0.0298 False
26 SB03-06 -4.2034 13.5446 0.0202 False
27 SB03-07 -1.2919 13.6754 0.0201 False
28 SB03-08 -5.054 11.7598 0.0127 False
29 SB03-09 -2.4956 11.9715 0.0225 False
30 SB03-10 0.1021 12.397 0.0124 False
31 SB03-11 1.8178 14.3304 0.0213 False
32 SB04-01 2.8564 10.1841 0.0199 False
33 SB04-02 1.8671 11.7656 0.0258 False
34 SB04-03 -1.0275 10.7835 0.0232 False
35 SB04-04 0.1088 9.2593 0.0135 False
36 SB04-05 -0.5501 7.5482 -0.0178 False
37 SB04-06 -0.5259 5.7027 0.0045 False
38 SB04-07 1.7627 8.1331 -0.0259 False
39 SB04-08 1.6387 5.1524 -0.0005 False
