idx name E N U flagged rotation
44 sb04-5 5.515 -5.205 -0.047 False 193.6
45 sb04-6 4.214 -3.856 -0.008 False 193.6
46 sb04-7 4.16 -7.184 -0.035 False 193.6
47 sb04-8 2.302 -4.888 -0.017 False 193.6
48 sb06-4 18.532 -4.316 0.06 False 193.6
49 sb06-5 17.469 -2.973 0.07 False 193.6
50 sb06-6 15.368 -5.64 0.048 False 193.6
51 sb06-7 15.485 -3.721 0.056 False 193.6
52 sb06-8 13.063 -2.202 0.044 False 193.6
53 sb06-9 11.677 -3.257 0.041 False 193.6
54 sb06-10 13.851 -4.617 0.045 False 193.6
55 sb06-11 14.13 -7.298 0.038 False 193.6
56 sb05-6 -3.448 -4.553 -0.055 False 193.6
57 sb05-7 -2.361 -7.089 -0.024 False 193.6
58 sb05-8 -1.984 -8.883 -0.022 False 193.6
59 sb05-9 -5.038 -9.171 -0.008 False 193.6
60 sb05-10 -3.476 -9.961 -0.03 False 193.6
61 sb06-1 15.429 -8.502 0.049 False 193.6
62 sb06-2 15.695 -10.784 0.042 False 193.6
63 sb06-3 16.826 -6.628 0.051 False 193.6
64 sb07-9 5.979 -1.443 -0.034 False 193.6
65 sb07-10 4.119 -2.131 -0.042 False 193.6
66 sb07-11 6.538 -3.758 -0.03 False 193.6
67 sb08-1 14.373 -0.416 0.05 False 193.6
68 sb08-2 16.305 -1.396 0.061 False 193.6
69 sb08-3 17.653 -0.293 0.103 False 193.6
70 sb08-4 17.414 1.471 0.091 False 193.6
71 sb08-5 18.152 3.243 0.085 False 193.6
72 sb07-1 8.392 -4.625 -0.001 False 193.6
73 sb07-2 10.122 -4.317 0.013 False 193.6
74 sb07-3 7.894 -2.496 -0.01 False 193.6
75 sb07-4 10.41 -1.466 0.032 False 193.6
76 sb07-5 9.741 1.073 0.045 False 193.6
77 sb07-6 7.615 -0.257 0.002 False 193.6
78 sb07-7 6.525 1.195 0.03 False 193.6
79 sb07-8 3.438 0.187 -0.017 False 193.6
80 sb09-4 10.582 5.187 0.069 False 193.6
81 sb09-5 6.961 5.12 0.023 False 193.6
82 sb09-6 7.96 7.285 0.051 False 193.6
83 sb09-7 6.193 7.868 0.04 False 193.6
84 sb09-8 5.521 6.184 0.018 False 193.6
85 sb09-9 5.104 3.851 0.016 False 193.6
86 sb09-10 2.678 2.548 -0.022 False 193.6
87 sb09-11 4.642 1.54 0.015 False 193.6
88 sb08-6 15.008 2.208 0.083 False 193.6
89 sb08-7 13.276 2.689 0.074 False 193.6
90 sb08-8 11.467 1.79 0.044 False 193.6
91 sb08-9 13.025 0.84 0.035 False 193.6
92 sb08-10 11.393 0.003 0.061 False 193.6
93 sb09-1 6.754 3.201 0.026 False 193.6
94 sb09-2 8.154 1.975 0.039 False 193.6
95 sb09-3 9.675 2.943 0.057 False 193.6
96 sb10-9 9.69 7.624 0.075 False 193.6
97 sb10-10 12.388 5.181 0.094 False 193.6
98 sb10-11 11.567 3.683 0.08 False 193.6
99 sb11-1 9.987 10.082 0.071 False 193.6
100 sb11-2 11.733 9.648 0.08 False 193.6
101 sb11-3 10.883 12.284 0.074 False 193.6
102 sb11-4 13.293 13.027 0.057 False 193.6
103 sb11-5 11.936 14.235 0.067 False 193.6
104 sb10-1 14.064 4.242 0.085 False 193.6
105 sb10-2 15.955 3.778 0.092 False 193.6
106 sb10-3 18.576 5.616 0.056 False 193.6
107 sb10-4 15.948 6.204 0.087 False 193.6
108 sb10-5 16.443 9.738 0.061 False 193.6
109 sb10-6 14.166 6.539 0.092 False 193.6
110 sb10-7 14.444 9.145 0.077 False 193.6
111 sb10-8 12.61 7.548 0.09 False 193.6
112 sb12-4 4.452 13.854 0.062 False 193.6
113 sb12-5 7.899 13.775 0.074 False 193.6
114 sb12-6 6.628 16.142 0.059 False 193.6
115 sb12-7 4.894 16.675 0.055 False 193.6
116 sb12-8 7.118 17.984 0.062 False 193.6
117 sb12-9 2.582 18.597 0.053 False 193.6
118 sb12-10 2.896 16.501 0.039 False 193.6
119 sb12-11 1.338 11.169 0.031 False 193.6
120 sb11-6 9.279 14.952 0.07 False 193.6
121 sb11-7 8.488 16.785 0.065 False 193.6
122 sb11-8 9.126 11.639 0.066 False 193.6
123 sb11-9 7.141 10.878 0.059 False 193.6
124 sb11-10 7.583 9.12 0.054 False 193.6
125 sb12-1 2.472 12.478 0.058 False 193.6
126 sb12-2 4.834 12.004 0.059 False 193.6
127 sb12-3 6.552 12.663 0.062 False 193.6
128 sb13-9 -5.492 16.343 -0.039 False 193.6
129 sb13-10 -4.395 14.377 -0.013 False 193.6
130 sb13-11 -4.562 12.615 -0.003 False 193.6
131 sb14-1 -8.829 10.305 -0.024 False 193.6
132 sb14-2 -9.475 13.188 -0.005 False 193.6
133 sb14-3 -7.099 10.656 -0.029 False 193.6
134 sb14-4 -6.37 12.383 -0.034 False 193.6
135 sb14-5 -6.227 14.608 -0.039 False 193.6
136 sb13-1 -3.174 11.549 0.016 False 193.6
137 sb13-2 -1.096 13.721 0.033 False 193.6
138 sb13-3 0.961 14.71 0.044 False 193.6
139 sb13-4 -0.671 15.434 -0.002 False 193.6
140 sb13-5 1.172 16.876 0.022 False 193.6
141 sb13-6 -1.941 17.182 -0.041 False 193.6
142 sb13-7 -3.332 15.972 -0.037 False 193.6
143 sb13-8 -4.927 18.831 -0.002 False 193.6
144 sb15-3 3.763 5.722 -0.016 False 193.6
145 sb15-4 3.317 7.691 0.02 False 193.6
146 sb15-5 5.541 9.618 0.028 False 193.6
147 sb15-6 3.582 10.465 0.034 False 193.6
148 sb15-7 0.292 12.615 0.039 False 193.6
149 sb15-8 -1.687 10.425 0.007 False 193.6
150 sb15-9 0.002 9.949 0.018 False 193.6
151 sb15-10 0.285 6.015 -0.016 False 193.6
152 sb14-6 -7.759 13.849 -0.018 False 193.6
153 sb14-7 -7.274 16.47 -0.008 False 193.6
154 sb14-8 -10.934 15.615 0.01 False 193.6
155 sb14-9 -11.18 13.822 -0.008 False 193.6
156 sb14-10 -12.863 13.051 -0.05 False 193.6
157 sb14-11 -11.489 11.725 -0.021 False 193.6
158 sb15-1 2.138 4.993 -0.011 False 193.6
159 sb15-2 1.576 7.96 0.011 False 193.6
160 sb16-9 -8.538 8.576 -0.009 False 193.6
161 sb16-10 -7.246 6.263 -0.015 False 193.6
162 sb16-11 -8.958 6.832 -0.003 False 193.6
163 sb17-1 -14.396 5.906 -0.042 False 193.6
164 sb17-2 -11.482 5.806 -0.019 False 193.6
165 sb17-3 -12.898 6.979 -0.001 False 193.6
166 sb17-4 -10.544 7.798 -0.001 False 193.6
167 sb17-5 -10.692 10.095 -0.024 False 193.6
168 sb16-1 -4.819 5.835 -0.029 False 193.6
169 sb16-2 -2.682 4.674 -0.016 False 193.6
170 sb16-3 -2.102 6.403 -0.017 False 193.6
171 sb16-4 -4.318 7.51 -0.008 False 193.6
172 sb16-5 -0.582 8.186 0.004 False 193.6
173 sb16-6 -2.56 8.776 0.006 False 193.6
174 sb16-7 -5.278 10.941 -0.041 False 193.6
175 sb16-8 -5.983 8.276 -0.03 False 193.6
176 sb18-4 1.33 1.076 -0.021 False 193.6
177 sb18-5 0.33 3.069 -0.044 False 193.6
178 sb18-6 -0.542 1.379 -0.014 False 193.6
179 sb18-7 -0.961 4.72 -0.027 False 193.6
180 sb18-8 -2.563 2.852 -0.004 False 193.6
181 sb18-9 -2.204 -0.126 0.005 False 193.6
182 sb18-10 -2.797 -2.347 -0.041 False 193.6
183 sb18-11 -0.032 -3.49 -0.01 False 193.6
184 sb17-6 -12.083 8.791 -0.03 False 193.6
185 sb17-7 -13.435 10.668 -0.033 False 193.6
186 sb17-8 -15.142 10.055 -0.039 False 193.6
187 sb17-9 -14.705 8.243 -0.03 False 193.6
188 sb17-10 -17.935 7.292 -0.077 False 193.6
189 sb18-1 -0.685 -1.063 -0.017 False 193.6
190 sb18-2 2.342 -2.42 -0.005 False 193.6
191 sb18-3 1.853 -0.648 -0.002 False 193.6
192 sb19-9 -11.549 2.731 -0.03 False 193.6
193 sb19-10 -10.41 -0.125 -0.058 False 193.6
194 sb19-11 -11.726 -1.295 -0.002 False 193.6
195 sb20-1 -15.816 0.53 0.007 False 193.6
196 sb20-2 -14.335 -0.394 0.026 False 193.6
197 sb20-3 -12.133 0.973 -0.008 False 193.6
198 sb20-4 -13.901 2.185 0.006 False 193.6
199 sb20-5 -13.308 4.454 -0.02 False 193.6
200 sb19-1 -3.923 -0.636 -0.019 False 193.6
201 sb19-2 -6.044 -0.253 -0.023 False 193.6
202 sb19-3 -5.495 2.221 -0.017 False 193.6
203 sb19-4 -4.531 3.844 -0.005 False 193.6
204 sb19-5 -7.716 1.789 -0.007 False 193.6
205 sb19-6 -7.834 3.63 0.003 False 193.6
206 sb19-7 -9.58 3.9 -0.02 False 193.6
207 sb19-8 -9.551 1.423 -0.034 False 193.6
208 sb21-4 -5.549 -4.967 -0.063 False 193.6
209 sb21-5 -4.713 -2.235 -0.053 False 193.6
210 sb21-6 -6.528 -1.995 -0.03 False 193.6
211 sb21-7 -7.934 -0.781 -0.029 False 193.6
212 sb21-8 -7.417 -3.536 -0.046 False 193.6
213 sb21-9 -9.078 -2.3 -0.027 False 193.6
214 sb21-10 -9.074 -5.861 -0.008 False 193.6
215 sb21-11 -7.991 -7.324 -0.006 False 193.6
216 sb20-6 -15.868 4.309 -0.021 False 193.6
217 sb20-7 -16.192 6.342 -0.045 False 193.6
218 sb20-8 -18.077 4.755 -0.042 False 193.6
219 sb20-9 -16.586 2.423 0.003 False 193.6
220 sb20-10 -18.609 -0.792 -0.021 False 193.6
221 sb21-1 -6.871 -8.875 -0.023 False 193.6
222 sb21-2 -6.312 -6.805 -0.043 False 193.6
223 sb21-3 -4.161 -7.27 -0.015 False 193.6
224 sb22-9 -17.065 -4.365 -0.01 False 193.6
225 sb22-10 -17.033 -6.586 -0.043 False 193.6
226 sb22-11 -15.273 -4.704 -0.006 False 193.6
227 sb23-1 -11.901 -12.632 -0.001 False 193.6
228 sb23-2 -10.093 -12.411 -0.018 False 193.6
229 sb23-3 -8.684 -9.358 -0.015 False 193.6
230 sb23-4 -11.306 -9.95 0.005 False 193.6
231 sb23-5 -11.635 -7.705 0.01 False 193.6
232 sb22-1 -15.24 -7.446 -0.043 False 193.6
233 sb22-2 -13.504 -5.647 -0.041 False 193.6
234 sb22-3 -11.053 -5.992 -0.005 False 193.6
235 sb22-4 -11.082 -4.195 0.004 False 193.6
236 sb22-5 -12.623 -3.341 0.009 False 193.6
237 sb22-6 -15.06 -2.946 0.002 False 193.6
238 sb22-7 -16.275 -1.575 0.016 False 193.6
239 sb22-8 -18.304 -2.515 -0.012 False 193.6
240 sb24-4 -5.531 -12.235 -0.023 False 193.6
241 sb24-5 -6.199 -10.574 -0.025 False 193.6
242 sb24-6 -8.453 -11.105 -0.009 False 193.6
243 sb24-7 -7.566 -13.44 -0.013 False 193.6
244 sb24-8 -9.23 -14.078 -0.013 False 193.6
245 sb24-9 -10.97 -14.671 -0.072 False 193.6
246 sb24-10 -9.644 -16.438 -0.03 False 193.6
247 sb24-11 -7.402 -16.145 -0.019 False 193.6
248 sb23-6 -13.091 -9.616 -0.016 False 193.6
249 sb23-7 -13.448 -7.524 -0.005 False 193.6
250 sb23-8 -14.77 -9.149 -0.015 False 193.6
251 sb23-9 -17.487 -9.099 -0.015 False 193.6
252 sb23-10 -14.83 -12.342 -0.018 False 193.6
253 sb24-1 -5.021 -17.106 -0.032 False 193.6
254 sb24-2 -5.908 -15.243 -0.009 False 193.6
255 sb24-3 -4.46 -13.78 -0.055 False 193.6
