idx name E N U flagged rotation
0 sb01-9 -3.772 -15.808 -0.033 False 193.6
1 sb01-10 -0.458 -17.604 -0.06 False 193.6
2 sb02-1 5.519 -17.833 -0.098 False 193.6
3 sb02-2 7.946 -17.599 -0.066 False 193.6
4 sb02-3 5.55 -16.023 -0.086 False 193.6
5 sb02-4 8.591 -15.179 -0.062 False 193.6
6 sb02-5 8.904 -13.497 -0.039 False 193.6
7 sb02-6 6.417 -13.976 -0.05 False 193.6
8 sb01-1 1.628 -19.392 -0.08 False 193.6
9 sb01-2 -0.543 -15.888 -0.059 False 193.6
10 sb01-3 1.179 -15.566 -0.041 False 193.6
11 sb01-4 2.288 -12.346 -0.033 False 193.6
12 sb01-5 0.329 -12.124 -0.026 False 193.6
13 sb01-6 -0.232 -13.999 -0.042 False 193.6
14 sb01-7 -2.85 -12.675 -0.04 False 193.6
15 sb01-8 -2.013 -14.743 -0.032 False 193.6
16 sb03-4 11.428 -10.523 -0.032 False 193.6
17 sb03-5 13.109 -11.026 -0.02 False 193.6
18 sb03-6 12.258 -7.156 0.041 False 193.6
19 sb03-7 10.216 -9.19 -0.032 False 193.6
20 sb03-8 11.687 -5.275 0.08 False 193.6
21 sb03-9 9.945 -7.11 -0.004 False 193.6
22 sb03-10 8.302 -9.227 -0.022 False 193.6
23 sb03-11 8.351 -11.769 -0.035 False 193.6
24 sb02-7 6.328 -11.996 -0.041 False 193.6
25 sb02-8 4.536 -12.371 -0.038 False 193.6
26 sb02-9 3.497 -13.873 -0.049 False 193.6
27 sb02-10 3.671 -16.135 -0.078 False 193.6
28 sb02-11 1.681 -17.544 -0.074 False 193.6
29 sb03-1 10.801 -14.383 -0.062 False 193.6
30 sb03-2 10.627 -12.586 -0.061 False 193.6
31 sb03-3 14.263 -12.439 -0.02 False 193.6
32 sb04-9 2.793 -8.343 -0.012 False 193.6
33 sb04-10 1.205 -9.356 -0.019 False 193.6
34 sb04-11 3.267 -10.625 -0.017 False 193.6
35 sb05-1 -1.128 -10.895 -0.027 False 193.6
36 sb05-2 -0.095 -8.162 -0.019 False 193.6
37 sb05-3 1.311 -6.809 -0.021 False 193.6
38 sb05-4 -0.457 -6.218 -0.005 False 193.6
39 sb05-5 -1.766 -3.839 -0.028 False 193.6
40 sb04-1 4.788 -9.459 -0.021 False 193.6
41 sb04-2 6.538 -9.884 -0.031 False 193.6
42 sb04-3 8.057 -7.279 -0.026 False 193.6
43 sb04-4 6.244 -6.875 -0.028 False 193.6
