idx name E N U flagged
0 SB01-01 18.7544 5.0885 -0.006 False
1 SB01-02 15.7372 2.2761 -0.001 False
2 SB01-03 15.0933 3.9662 -0.0073 False
3 SB01-04 11.7535 4.4273 0.0043 False
4 SB01-05 11.8912 2.5053 -0.0221 False
5 SB01-06 13.7861 2.2354 -0.0129 False
6 SB01-07 13.0141 -0.5763 -0.0078 False
7 SB01-08 14.8891 0.671 -0.0373 False
8 SB01-09 16.2026 -0.9163 -0.0237 False
9 SB01-10 17.4179 2.7141 -0.0065 False
10 SB02-01 16.5622 8.5866 0.0212 False
11 SB02-02 15.9062 10.8955 0.0026 False
12 SB02-03 14.7493 8.3083 -0.0046 False
13 SB02-04 13.4242 11.1971 -0.0086 False
14 SB02-05 11.6146 11.1549 -0.0387 False
15 SB02-06 12.6295 8.8333 -0.0063 False
16 SB02-07 10.6891 8.3492 0.0011 False
17 SB02-08 11.3305 6.6973 0.0094 False
18 SB02-09 12.9958 5.933 0.0074 False
19 SB02-10 15.2441 6.5187 -0.0051 False
20 SB02-11 16.9882 4.7591 0.0086 False
21 SB03-01 12.2414 13.2325 -0.0178 False
22 SB03-02 10.4648 12.7311 -0.0014 False
23 SB03-03 9.7148 16.2892 -0.0077 False
24 SB03-04 8.2757 13.1194 0.0116 False
25 SB03-05 8.4887 14.8515 -0.0314 False
26 SB03-06 4.8248 13.3809 -0.0037 False
27 SB03-07 7.2427 11.6727 -0.011 False
28 SB03-08 3.1279 12.4264 -0.0202 False
29 SB03-09 5.241 11.0409 0.0025 False
30 SB03-10 7.5698 9.7922 -0.0174 False
31 SB03-11 10.103 10.2897 -0.0031 False
32 SB04-01 8.473 6.3821 0.0002 False
33 SB04-02 8.5913 8.2238 -0.0027 False
34 SB04-03 5.7388 9.2059 -0.0003 False
35 SB04-04 5.6706 7.357 0.0064 False
36 SB04-05 4.1194 6.3489 -0.0088 False
37 SB04-06 3.0749 4.8573 -0.011 False
38 SB04-07 6.2986 5.4039 0.0109 False
39 SB04-08 4.4073 3.1669 0.008 False
40 SB04-09 7.689 4.2217 -0.0055 False
41 SB04-10 9.0583 2.8806 -0.0218 False
42 SB04-11 9.8505 5.0949 -0.0016 False
43 SB05-01 10.8851 0.8653 -0.0281 False
44 SB05-02 8.0096 1.3966 0.0036 False
45 SB05-03 6.4714 2.4861 0.0166 False
46 SB05-04 6.2248 0.696 -0.0003 False
47 SB05-05 4.0638 -1.0278 -0.0013 False
48 SB05-06 5.1264 -2.5867 -0.022 False
49 SB05-07 7.3662 -1.0637 -0.0159 False
50 SB05-08 9.07 -0.3813 -0.0221 False
51 SB05-09 9.9364 -3.3431 -0.0262 False
52 SB05-10 10.3951 -1.6136 -0.0204 False
53 SB06-01 5.5851 16.6774 -0.0092 False
54 SB06-02 7.8427 17.3502 -0.0035 False
55 SB06-03 3.4944 17.7211 -0.0175 False
56 SB06-04 0.9594 19.0272 -0.0451 False
57 SB06-05 -0.1728 17.695 -0.0347 False
58 SB06-06 2.7916 16.1318 -0.0151 False
59 SB06-07 0.8692 15.8859 -0.0543 False
60 SB06-08 -0.2016 13.2374 -0.0217 False
61 SB06-09 1.1523 12.1019 -0.0027 False
62 SB06-10 2.0312 14.4444 -0.0001 False
63 SB06-11 4.6404 15.1402 -0.0203 False
64 SB07-01 3.0747 9.0699 -0.0086 False
65 SB07-02 2.4319 10.7138 0.0213 False
66 SB07-03 1.0157 8.201 -0.0074 False
67 SB07-04 -0.4029 10.4845 0.0073 False
68 SB07-05 -2.8271 9.3851 -0.0005 False
69 SB07-06 -1.1318 7.5199 0.0038 False
70 SB07-07 -2.3078 6.1989 -0.015 False
71 SB07-08 -0.834 3.3353 -0.0052 False
72 SB07-09 0.2911 6.1882 -0.0082 False
73 SB07-10 1.3327 4.4209 -0.0297 False
74 SB07-11 2.5507 7.0949 0.0038 False
75 SB08-01 -2.13 14.2562 -0.0479 False
76 SB08-02 -1.5633 16.2884 -0.0491 False
77 SB08-03 -2.8932 17.4154 -0.0493 False
78 SB08-04 -4.5356 16.8705 -0.0404 False
79 SB08-05 -6.4621 17.2821 -0.0263 False
80 SB08-06 -4.828 14.3689 -0.0558 False
81 SB08-07 -4.9883 12.6213 -0.0579 False
82 SB08-08 -3.8392 11.0021 -0.0421 False
83 SB08-09 -3.1259 12.6561 -0.0265 False
84 SB08-10 -2.0632 11.2456 0.0016 False
85 SB09-01 -4.3415 6.1097 -0.0168 False
86 SB09-02 -3.3776 7.6716 -0.0222 False
87 SB09-03 -4.6537 8.9947 -0.0261 False
88 SB09-04 -6.9722 9.4726 0.0015 False
89 SB09-05 -6.1876 5.9315 -0.0183 False
90 SB09-06 -8.5667 6.5093 0.0472 False
91 SB09-07 -8.8274 4.7181 0.0097 False
92 SB09-08 -7.0986 4.3194 0.0273 False
93 SB09-09 -4.7433 4.3273 0.0078 False
94 SB09-10 -2.973 2.1561 0.0354 False
95 SB09-11 -2.3856 4.2831 0.004 False
96 SB10-01 -6.6315 13.0493 0.0404 False
97 SB10-02 -6.5389 15.0264 -0.0264 False
98 SB10-03 -8.8618 17.292 -0.0639 False
99 SB10-04 -8.9364 14.573 -0.0364 False
100 SB10-05 -12.5506 14.4436 -0.0388 False
101 SB10-06 -8.9385 12.7587 -0.0028 False
102 SB10-07 -11.5541 12.5785 -0.0133 False
103 SB10-08 -9.6887 11.1003 -0.0006 False
104 SB10-09 -9.2239 8.2105 0.0159 False
105 SB10-10 -7.3286 11.259 0.0183 False
106 SB10-11 -5.6567 10.7584 -0.0191 False
107 SB11-01 -11.6795 8.0163 -0.0229 False
108 SB11-02 -11.5651 9.8182 -0.0218 False
109 SB11-03 -14.0017 8.5059 -0.0258 False
110 SB11-04 -15.2227 10.7306 0.016 False
111 SB11-05 -16.1693 9.1753 0.0196 False
112 SB11-06 -16.3412 6.4741 0.0116 False
113 SB11-07 -18.0055 5.4183 0.0044 False
114 SB11-08 -13.0546 6.8898 -0.0051 False
115 SB11-09 -11.9601 5.0738 0.0194 False
116 SB11-10 -10.305 5.8644 0.0149 False
117 SB12-01 -12.691 0.2036 0.0396 False
118 SB12-02 -12.6967 2.6127 0.0513 False
119 SB12-03 -13.6209 4.2113 0.0321 False
120 SB12-04 -14.406 1.887 0.0346 False
121 SB12-05 -15.0031 5.3055 0.0342 False
122 SB12-06 -17.0554 3.6591 0.06 False
123 SB12-07 -17.2668 1.809 0.0399 False
124 SB12-08 -19.0054 3.7778 0.049 False
125 SB12-09 -18.7826 -0.7512 0.0553 False
126 SB12-10 -16.7232 -0.0749 0.0718 False
127 SB12-11 -11.2065 -0.5982 -0.0095 False
128 SB13-01 -10.8108 -5.195 -0.0036 False
129 SB13-02 -13.2735 -3.5492 0.0167 False
130 SB13-03 -14.6298 -1.661 0.0339 False
131 SB13-04 -15.0305 -3.4325 0.0029 False
132 SB13-05 -16.8311 -1.8713 0.0524 False
133 SB13-06 -16.5221 -5.0034 0.0168 False
134 SB13-07 -15.1374 -6.1336 0.0317 False
135 SB13-08 -17.666 -8.1904 0.0605 False
136 SB13-09 -15.1168 -8.2859 0.0333 False
137 SB13-10 -13.379 -6.8913 0.022 False
138 SB13-11 -11.5605 -6.7495 -0.0127 False
139 SB14-01 -8.573 -10.5415 -0.005 False
140 SB14-02 -11.3001 -11.6317 -0.0085 False
141 SB14-03 -9.1825 -8.8541 -0.0272 False
142 SB14-04 -11.0663 -8.4349 0.0096 False
143 SB14-05 -13.293 -8.7416 0.0131 False
144 SB14-06 -12.2665 -10.1093 0.0116 False
145 SB14-07 -14.9272 -10.1087 0.0293 False
146 SB14-08 -13.3859 -13.5555 0.0285 False
147 SB14-09 -11.6108 -13.5169 -0.0241 False
148 SB14-10 -10.5595 -14.989 -0.0022 False
149 SB14-11 -9.5042 -13.3891 -0.0399 False
150 SB15-01 -5.2727 1.2047 0.0078 False
151 SB15-02 -8.0935 0.1665 -0.0044 False
152 SB15-03 -6.3392 2.7204 0.058 False
