idx name E N U flagged
0 SB01-01 6.7025 -18.2593 -0.0207 False
1 SB01-02 3.6474 -15.44 -0.0112 False
2 SB01-03 5.2616 -14.6937 -0.004 False
3 SB01-04 5.4838 -11.3288 0.0026 False
4 SB01-05 3.5288 -11.5847 -0.0191 False
5 SB01-06 3.4289 -13.5322 -0.0215 False
6 SB01-07 0.5548 -12.9888 0.0185 False
7 SB01-08 1.9729 -14.7783 0.0236 False
8 SB01-09 0.5401 -16.2444 -0.0058 False
9 SB01-10 4.1565 -17.1285 0.0278 False
10 SB02-01 9.994 -15.7561 -0.0136 False
11 SB02-02 12.2716 -14.8996 0.0154 False
12 SB02-03 9.5407 -13.976 0.008 False
13 SB02-04 12.317 -12.396 0.0112 False
14 SB02-05 12.1177 -10.6491 0.0047 False
15 SB02-06 9.8985 -11.8198 0.0264 False
16 SB02-07 9.251 -9.8702 0.0231 False
17 SB02-08 7.6688 -10.7113 0.0103 False
18 SB02-09 7.035 -12.4824 0.0259 False
19 SB02-10 7.8219 -14.6173 0.0192 False
20 SB02-11 6.2623 -16.4741 -0.0083 False
21 SB03-01 14.2323 -11.059 -0.0278 False
22 SB03-02 13.5885 -9.3122 0.0015 False
23 SB03-03 17.0204 -8.2629 0.0023 False
24 SB03-04 13.7819 -7.1063 0.0024 False
25 SB03-05 15.5778 -7.158 -0.0207 False
26 SB03-06 13.7375 -3.6489 -0.0188 False
27 SB03-07 12.2884 -6.1759 0.006 False
28 SB03-08 12.6266 -2.0253 0.0034 False
29 SB03-09 11.4424 -4.2673 -0.0279 False
30 SB03-10 10.456 -6.6879 0.0097 False
31 SB03-11 11.1251 -9.1729 -0.0009 False
32 SB04-01 7.0843 -7.8859 0.0056 False
33 SB04-02 8.9478 -7.8314 0.0206 False
34 SB04-03 9.6535 -4.9157 0.0336 False
35 SB04-04 7.8084 -5.0067 0.0127 False
36 SB04-05 6.7165 -3.5799 0.0206 False
37 SB04-06 5.0859 -2.5732 0.0323 False
38 SB04-07 5.9206 -5.8498 0.0251 False
39 SB04-08 3.5271 -4.1225 0.0368 False
40 SB04-09 4.9077 -7.3249 0.0347 False
41 SB04-10 3.6513 -8.6718 0.0239 False
42 SB04-11 5.9212 -9.3632 0.003 False
43 SB05-01 1.8075 -10.7674 0.0251 False
44 SB05-02 2.0714 -7.8577 0.0383 False
45 SB05-03 3.0644 -6.1914 0.026 False
46 SB05-04 1.2205 -6.1164 0.0315 False
47 SB05-05 -0.7005 -4.1101 0.0412 False
48 SB05-06 -2.121 -5.3075 0.0317 False
49 SB05-07 -0.3998 -7.4675 0.0375 False
50 SB05-08 0.3814 -9.0427 0.0308 False
51 SB05-09 -2.4362 -10.1715 0.0389 False
52 SB05-10 -0.7156 -10.4688 0.0292 False
53 SB06-01 17.1494 -4.1164 0.014 False
54 SB06-02 17.9637 -6.2975 0.0085 False
55 SB06-03 17.95 -1.9352 -0.0029 False
56 SB06-04 19.049 0.703 0.0015 False
57 SB06-05 17.6565 1.7153 0.0068 False
58 SB06-06 16.34 -1.3755 0.0033 False
59 SB06-07 15.9071 0.4698 0.0077 False
60 SB06-08 13.1611 1.2956 0.018 False
61 SB06-09 12.1366 -0.0876 0.0135 False
62 SB06-10 14.6189 -0.8176 0.012 False
63 SB06-11 15.472 -3.2991 -0.0026 False
64 SB07-01 9.3493 -2.2782 0.0343 False
65 SB07-02 10.8765 -1.4649 0.0131 False
66 SB07-03 8.2379 -0.3382 0.023 False
67 SB07-04 10.4485 1.3206 0.0028 False
68 SB07-05 9.0697 3.6394 0.0098 False
69 SB07-06 7.4341 1.7335 0.0124 False
70 SB07-07 5.9388 2.8612 0.0189 False
71 SB07-08 3.2349 1.0706 0.0165 False
72 SB07-09 6.1597 0.198 0.0079 False
73 SB07-10 4.5385 -0.9804 0.0219 False
74 SB07-11 7.3277 -1.9143 0.023 False
75 SB08-01 13.9938 3.3797 0.0278 False
76 SB08-02 16.1303 2.9757 0.0242 False
77 SB08-03 17.0808 4.4042 0.0172 False
78 SB08-04 16.3992 5.9963 0.0037 False
79 SB08-05 16.6806 7.9058 0.0111 False
80 SB08-06 13.9292 6.0672 -0.0195 False
81 SB08-07 12.1183 6.0794 0.0092 False
82 SB08-08 10.604 4.7339 0.0067 False
83 SB08-09 12.3538 4.2306 0.025 False
84 SB08-10 10.9963 3.0029 0.0187 False
85 SB09-01 5.731 4.854 0.0033 False
86 SB09-02 7.3644 4.0402 -0.0043 False
87 SB09-03 8.5782 5.4272 0.0013 False
88 SB09-04 8.8608 7.7798 -0.0019 False
89 SB09-05 5.3201 6.7888 -0.0051 False
