idx name E N U flagged
0 SB01-01 -17.2658 8.9395 0.0199 False
1 SB01-02 -13.1026 8.9332 0.0211 False
2 SB01-03 -13.7948 7.282 0.0206 False
3 SB01-04 -11.677 4.6646 0.0491 False
4 SB01-05 -10.4395 6.2116 0.0142 False
5 SB01-06 -11.6958 7.6454 0.0345 False
6 SB01-07 -9.2249 9.1976 0.0137 False
7 SB01-08 -11.3893 9.5473 0.0151 False
8 SB01-09 -11.3521 11.5993 0.01 False
9 SB01-10 -14.6696 9.7744 0.0229 False
10 SB02-01 -18.0125 4.868 0.0323 False
11 SB02-02 -19.1076 2.6868 0.0413 False
12 SB02-03 -16.4687 3.8523 0.0371 False
13 SB02-04 -17.477 0.7875 0.0269 False
14 SB02-05 -16.152 -0.3544 0.0292 False
15 SB02-06 -15.2899 1.9995 0.0415 False
16 SB02-07 -13.5056 1.0149 0.0498 False
17 SB02-08 -12.9022 2.6987 0.0529 False
18 SB02-09 -13.5809 4.4119 0.0586 False
19 SB02-10 -15.6271 5.4997 0.0344 False
20 SB02-11 -15.692 7.9467 0.0252 False
21 SB03-01 -17.9744 -1.4317 0.0129 False
22 SB03-02 -16.294 -2.3005 0.0186 False
23 SB03-03 -18.1467 -5.426 -0.0067 False
24 SB03-04 -14.9756 -4.1 0.0096 False
25 SB03-05 -16.3359 -5.2056 0.0066 False
26 SB03-06 -12.6006 -6.6157 0.0032 False
27 SB03-07 -13.2248 -3.7332 0.0202 False
28 SB03-08 -10.7045 -7.0688 0.0153 False
29 SB03-09 -11.3279 -4.6062 0.0005 False
30 SB03-10 -12.2507 -2.096 0.0394 False
31 SB03-11 -14.3894 -0.7363 0.0367 False
32 SB04-01 -10.5643 1.0057 0.0481 False
33 SB04-02 -11.8955 -0.2819 0.047 False
34 SB04-03 -10.4873 -2.8952 0.023 False
35 SB04-04 -9.156 -1.6042 0.0027 False
36 SB04-05 -7.3479 -1.8835 0.0196 False
37 SB04-06 -5.5091 -1.4874 0.0351 False
38 SB04-07 -8.3143 0.322 0.0336 False
39 SB04-08 -5.388 0.7116 0.017 False
40 SB04-09 -8.5287 2.0623 0.0328 False
41 SB04-10 -8.571 3.9051 0.0458 False
42 SB04-11 -10.7147 2.8911 0.0481 False
43 SB05-01 -8.6304 6.7192 0.033 False
44 SB05-02 -6.8347 4.4138 0.0406 False
45 SB05-03 -6.4684 2.5281 0.0141 False
46 SB05-04 -5.0659 3.6761 -0.0018 False
47 SB05-05 -2.3076 3.4894 -0.0279 False
48 SB05-06 -2.0251 5.367 -0.048 False
49 SB05-07 -4.713 5.7631 -0.0074 False
50 SB05-08 -6.4342 6.3987 0.0201 False
51 SB05-09 -5.083 9.1714 -0.048 False
52 SB05-10 -6.5439 8.2362 -0.0007 False
53 SB06-01 -15.3991 -8.5389 -0.0199 False
54 SB06-02 -17.5129 -7.5247 -0.0185 False
55 SB06-03 -14.5612 -10.7111 -0.0341 False
56 SB06-04 -13.5316 -13.367 -0.0602 False
57 SB06-05 -11.8261 -13.1707 -0.0163 False
58 SB06-06 -12.981 -9.9696 -0.0124 False
59 SB06-07 -11.408 -11.0966 -0.0011 False
60 SB06-08 -8.8662 -9.8929 0.014 False
61 SB06-09 -9.0132 -8.1469 0.0049 False
62 SB06-10 -11.2625 -9.272 0.0021 False
63 SB06-11 -13.6467 -8.0384 -0.0127 False
64 SB07-01 -8.3832 -4.6119 0.0236 False
65 SB07-02 -9.0238 -6.2755 -0.0 False
66 SB07-03 -6.3146 -5.3235 0.0164 False
67 SB07-04 -6.7923 -8.0152 0.0186 False
68 SB07-05 -4.2684 -8.8001 0.0613 False
69 SB07-06 -4.3039 -6.3215 0.0434 False
70 SB07-07 -2.4935 -6.1624 0.0506 False
71 SB07-08 -1.6623 -2.9902 0.0253 False
72 SB07-09 -4.3829 -4.301 0.0558 False
73 SB07-10 -4.0252 -2.3534 0.046 False
74 SB07-11 -6.6682 -3.5174 0.0343 False
75 SB08-01 -8.0495 -11.9458 0.0173 False
76 SB08-02 -9.8748 -13.0964 0.0083 False
77 SB08-03 -9.6603 -14.7555 -0.0017 False
78 SB08-04 -8.053 -15.502 -0.0233 False
79 SB08-05 -6.9317 -17.1462 -0.0107 False
