idx name E N U flagged
0 SB01-01 16.3477 -10.5003 0.0608 False
1 SB01-02 12.2519 -10.1266 0.0615 False
2 SB01-03 13.0795 -8.5027 0.0729 False
3 SB01-04 11.1796 -5.7291 0.0726 False
4 SB01-05 9.8507 -7.1209 0.0815 False
5 SB01-06 10.9241 -8.6971 0.0648 False
6 SB01-07 8.3101 -10.0034 0.0874 False
7 SB01-08 10.4557 -10.5909 0.0707 False
8 SB01-09 10.2315 -12.6421 0.0636 False
9 SB01-10 13.7173 -11.0666 0.0583 False
10 SB02-01 17.4982 -6.4978 0.0165 False
11 SB02-02 18.8013 -4.4203 0.0069 False
12 SB02-03 16.0346 -5.3684 0.0323 False
13 SB02-04 17.3151 -2.4085 -0.0076 False
14 SB02-05 16.107 -1.1238 0.003 False
15 SB02-06 15.043 -3.4003 0.0312 False
16 SB02-07 13.3631 -2.2999 0.0224 False
17 SB02-08 12.5996 -3.8885 0.0354 False
18 SB02-09 13.1718 -5.6574 0.0388 False
19 SB02-10 15.0665 -6.8987 0.0499 False
20 SB02-11 14.8997 -9.3346 0.059 False
21 SB03-01 18.0349 -0.1687 0.0037 False
22 SB03-02 16.4631 0.8206 -0.0107 False
23 SB03-03 18.5619 3.7356 0.0387 False
24 SB03-04 15.2773 2.6986 0.0196 False
25 SB03-05 16.7712 3.7049 0.0105 False
26 SB03-06 13.1289 5.4023 0.016 False
27 SB03-07 13.5335 2.4629 0.0324 False
28 SB03-08 11.3057 6.0552 0.0239 False
29 SB03-09 11.6815 3.5509 0.0288 False
30 SB03-10 12.4089 0.9805 0.0145 False
31 SB03-11 14.4196 -0.5561 0.0102 False
32 SB04-01 10.4067 -1.9786 0.0487 False
33 SB04-02 11.8464 -0.8165 0.0237 False
34 SB04-03 10.669 1.9516 0.02 False
35 SB04-04 9.2579 0.7534 0.0101 False
36 SB04-05 7.486 1.2039 0.006 False
37 SB04-06 5.6101 0.978 -0.016 False
38 SB04-07 8.2609 -1.0543 0.0385 False
39 SB04-08 5.2693 -1.1478 0.0188 False
40 SB04-09 8.3177 -2.8822 0.0684 False
41 SB04-10 8.1465 -4.684 0.0502 False
42 SB04-11 10.3712 -3.8493 0.0657 False
43 SB05-01 7.9434 -7.4781 0.0811 False
44 SB05-02 6.4424 -5.0385 0.0626 False
45 SB05-03 6.16 -3.0807 0.0501 False
46 SB05-04 4.6759 -4.1422 0.0587 False
47 SB05-05 1.9252 -3.7103 0.0174 False
48 SB05-06 1.5005 -5.5326 0.0089 False
49 SB05-07 4.2097 -6.1796 0.0112 False
50 SB05-08 5.832 -7.0041 0.0488 False
51 SB05-09 4.1921 -9.5933 0.0687 False
52 SB05-10 5.7797 -8.766 0.0264 False
53 SB06-01 16.126 7.1009 0.028 False
54 SB06-02 18.1242 5.878 0.0328 False
55 SB06-03 15.4413 9.3062 0.0248 False
56 SB06-04 14.7359 12.0857 0.0604 False
57 SB06-05 13.0219 12.0465 0.0387 False
58 SB06-06 13.835 8.7343 0.0259 False
59 SB06-07 12.3447 10.0279 0.037 False
60 SB06-08 9.6917 8.9968 0.0371 False
61 SB06-09 9.7284 7.2805 0.0236 False
62 SB06-10 12.1241 8.199 0.0347 False
63 SB06-11 14.3362 6.7608 -0.0107 False
64 SB07-01 8.7709 3.836 -0.0077 False
65 SB07-02 9.5932 5.4566 0.0073 False
66 SB07-03 6.7649 4.7131 -0.0053 False
67 SB07-04 7.5153 7.3885 0.007 False
68 SB07-05 5.0295 8.3914 0.0038 False
69 SB07-06 4.8637 5.8843 -0.0062 False
70 SB07-07 3.0159 5.8671 -0.0545 False
71 SB07-08 1.9119 2.837 -0.0408 False
72 SB07-09 4.7728 3.9108 -0.0514 False
73 SB07-10 4.2283 1.9703 -0.018 False
74 SB07-11 6.9437 2.8864 0.0049 False
75 SB08-01 9.1022 11.1455 0.0382 False
76 SB08-02 10.9917 12.1094 0.0494 False
77 SB08-03 10.9617 13.8792 0.0451 False
78 SB08-04 9.4279 14.687 0.023 False
79 SB08-05 8.4779 16.4213 0.024 False
80 SB08-06 7.3781 13.2463 0.0103 False
81 SB08-07 5.9731 12.1757 0.0377 False
82 SB08-08 5.5792 10.1941 0.0072 False
83 SB08-09 7.2502 10.8184 0.0388 False
