idx name E N U flagged
0 SB01-01 5.5877 -18.5858 0.0869 False
1 SB01-02 2.689 -15.6572 0.0925 False
2 SB01-03 4.3596 -14.9384 0.0817 False
3 SB01-04 4.7746 -11.6091 0.0393 False
4 SB01-05 2.8129 -11.7612 0.0361 False
5 SB01-06 2.6524 -13.7448 0.0764 False
6 SB01-07 -0.1881 -13.0018 0.0749 False
7 SB01-08 1.064 -14.8566 0.0951 False
8 SB01-09 -0.4387 -16.2482 0.0565 False
9 SB01-10 3.1331 -17.3246 0.079 False
10 SB02-01 9.0622 -16.3138 0.0517 False
11 SB02-02 11.3929 -15.5704 0.0603 False
12 SB02-03 8.7398 -14.4993 0.0505 False
13 SB02-04 11.5829 -13.0833 0.022 False
14 SB02-05 11.4983 -11.3375 0.0187 False
15 SB02-06 9.1544 -12.3656 0.0135 False
16 SB02-07 8.6714 -10.4351 0.0094 False
17 SB02-08 6.9915 -11.1334 0.028 False
18 SB02-09 6.2872 -12.8585 0.0464 False
19 SB02-10 6.9064 -15.0364 0.0728 False
20 SB02-11 5.2402 -16.8338 0.0764 False
21 SB03-01 13.5275 -11.8966 0.0174 False
22 SB03-02 12.9923 -10.1362 0.0099 False
23 SB03-03 16.5344 -9.2354 0.0283 False
24 SB03-04 13.363 -7.936 -0.0064 False
25 SB03-05 15.1092 -8.0995 0.0302 False
26 SB03-06 13.4819 -4.4884 0.035 False
27 SB03-07 11.8818 -6.9309 0.03 False
28 SB03-08 12.4826 -2.7627 0.0513 False
29 SB03-09 11.19 -4.9119 0.0351 False
30 SB03-10 10.0281 -7.3314 0.0278 False
31 SB03-11 10.5469 -9.8055 0.0259 False
32 SB04-01 6.6251 -8.2731 0.0383 False
33 SB04-02 8.4372 -8.3303 0.0211 False
34 SB04-03 9.3857 -5.4585 0.0408 False
35 SB04-04 7.5271 -5.4965 0.0211 False
36 SB04-05 6.473 -3.9503 0.0431 False
37 SB04-06 4.9066 -2.9082 0.0221 False
38 SB04-07 5.5471 -6.1743 0.0077 False
39 SB04-08 3.2556 -4.3539 0.0081 False
40 SB04-09 4.453 -7.6088 0.0108 False
41 SB04-10 3.1139 -8.8557 0.0349 False
42 SB04-11 5.3881 -9.6832 0.0486 False
43 SB05-01 1.145 -10.8921 0.048 False
44 SB05-02 1.5906 -8.0078 0.0112 False
45 SB05-03 2.6972 -6.3958 -0.0021 False
46 SB05-04 0.8422 -6.1876 -0.0236 False
47 SB05-05 -0.9484 -4.1136 0.0082 False
48 SB05-06 -2.44 -5.1747 -0.0281 False
49 SB05-07 -0.8532 -7.41 -0.0067 False
50 SB05-08 -0.1096 -9.1015 0.0361 False
51 SB05-09 -3.0244 -10.0057 -0.0069 False
52 SB05-10 -1.3356 -10.4031 0.0382 False
53 SB06-01 16.8599 -5.1445 0.0046 False
54 SB06-02 17.5862 -7.3788 0.0233 False
55 SB06-03 17.7841 -3.0305 0.0454 False
56 SB06-04 19.0288 -0.4261 0.0302 False
57 SB06-05 17.7021 0.6824 0.0269 False
58 SB06-06 16.1927 -2.382 0.0118 False
59 SB06-07 15.8679 -0.4578 0.0496 False
60 SB06-08 13.1949 0.5229 0.042 False
61 SB06-09 12.138 -0.7892 0.0392 False
62 SB06-10 14.5066 -1.6744 0.0254 False
