idx name E N U flagged
0 SB01-01 -18.0541 -7.1975 -0.0555 False
1 SB01-02 -15.3254 -4.0435 -0.0488 False
2 SB01-03 -14.5418 -5.6651 -0.0368 False
3 SB01-04 -11.1776 -5.7748 -0.0341 False
4 SB01-05 -11.482 -3.832 -0.0294 False
5 SB01-06 -13.4446 -3.8355 -0.0345 False
6 SB01-07 -12.9747 -0.9613 -0.0393 False
7 SB01-08 -14.6574 -2.3442 -0.0389 False
8 SB01-09 -16.1897 -0.972 -0.0477 False
9 SB01-10 -16.9451 -4.6687 -0.0696 False
10 SB02-01 -15.4782 -10.4128 -0.0581 False
11 SB02-02 -14.5507 -12.6721 -0.0877 False
12 SB02-03 -13.7009 -9.9758 -0.0453 False
13 SB02-04 -12.0486 -12.6364 -0.062 False
14 SB02-05 -10.3074 -12.428 -0.0776 False
15 SB02-06 -11.5305 -10.2012 -0.0264 False
16 SB02-07 -9.6169 -9.54 -0.0491 False
17 SB02-08 -10.4963 -7.9817 -0.0389 False
18 SB02-09 -12.2343 -7.3864 -0.031 False
19 SB02-10 -14.3919 -8.2122 -0.0282 False
20 SB02-11 -16.2822 -6.6957 -0.0576 False
21 SB03-01 -10.6553 -14.5249 -0.0328 False
22 SB03-02 -8.9398 -13.8204 -0.0367 False
23 SB03-03 -7.7988 -17.2678 -0.0353 False
24 SB03-04 -6.7333 -13.9991 -0.0361 False
25 SB03-05 -6.7813 -15.7472 -0.0254 False
26 SB03-06 -3.2669 -13.8493 -0.011 False
27 SB03-07 -5.8614 -12.4374 -0.0309 False
28 SB03-08 -1.6836 -12.7012 -0.0424 False
29 SB03-09 -3.9522 -11.5784 -0.0482 False
30 SB03-10 -6.3956 -10.6294 -0.0662 False
31 SB03-11 -8.8651 -11.4068 -0.0669 False
32 SB04-01 -7.6756 -7.3312 -0.0441 False
33 SB04-02 -7.5835 -9.1228 -0.0539 False
34 SB04-03 -4.6486 -9.8096 -0.0441 False
35 SB04-04 -4.7869 -7.9731 -0.0371 False
36 SB04-05 -3.3519 -6.8174 -0.016 False
37 SB04-06 -2.4423 -5.1812 -0.0063 False
38 SB04-07 -5.6474 -6.0541 -0.0235 False
39 SB04-08 -4.0188 -3.5967 -0.008 False
40 SB04-09 -7.1405 -5.0952 -0.0124 False
